Date,Link,Heading,Body
2021-10-11T13:50:00-05:00,https://www.theonion.com/yellowstone-bouncer-escorts-high-roller-to-vip-area-to-1847827300,Yellowstone Bouncer Escorts High Roller To VIP Area To Meet And Mingle With Grizzly Bears,GARDINER MT—Pulling aside a velvet rope as he waved the well-heeled hiker forward a bouncer at Yellowstone National Park reportedly escorted a high roller to the VIP area Monday to meet and mingle with a few of the habitat’s celebrated grizzly bears. “How about a more private party with some of our bears?” said the bouncer leading 26-year-old Scott Gilcrest past the crowded campground and through a thicket into an intimate shaded grove where the young socialite saw silhouettes of grizzlies who were lounging behind a waterfall and nibbling on plates of berries trout and rodents. “Here we give our preferred clientele the opportunity to get up close and personal with these beautiful creatures. We don’t let just anyone socialize with  the bears you understand. It’s strictly A-list in this area. Cashmere Sapphire—come meet our new friend here. Show him the hot springs and make sure he has a good time okay?” At press time sources confirmed the high roller had lost feeling in both his legs as a 400-pound grizzly administered a lap dance.
2021-10-08T07:00:00-05:00,https://www.theonion.com/american-support-for-indigenous-peoples-day-significant-1847710448,American Support For Indigenous Peoples' Day Significantly Increases After Learning It Still 3-Day Weekend,NEW ROCHELLE NY—As the nation’s attitudes toward its own history continue to change a new study published Friday revealed American support for Indigenous Peoples’ Day significantly increases when it is made clear that it would still be a three-day weekend. “As long as I can still stay up late on Sunday and grill on Monday I don’t really care whose day it is” said local man Roman Benjamin echoing 61% of Americans whose support for replacing Columbus Day with a day that would commemorate Native American peoples and cultures rose upon confirmation that the second Monday in October would be a day off work either way. “I wasn’t sure about this whole thing with not having Columbus Day anymore and instead having one for Native Americans but as soon as I realized I wouldn’t have to go to some museum or watch some ritual parade or anything like that I support them doing whatever they want. Ultimately Columbus Day is about upholding values I care about like not having to go to work or my kids not having to go to school and those are the kinds of traditions that I want to preserve. Plus it’s one more day a year that I don’t have to think more about Italians.” A related report found that the majority of Americans would be fine adding a holiday celebrating the Nazis or ISIS as long as it got them an additional Monday off.
2021-10-07T13:55:00-05:00,https://www.theonion.com/can-you-help-the-scab-get-into-the-cereal-factory-re-1847813144,‘Can You Help The Scab Get Into The Cereal Factory?’ Read Instructions On Back Of Kellogg’s Box,BATTLE CREEK MI—Focused as he enjoyed the activity on the back of the package local 9-year-old Carter McCauley was reportedly working on a maze on his Kellogg’s cereal box Thursday that read “Can you help the scab get into the cereal plant?” “Uh-oh it looks like the greedy union workers are blocking our friend Toucan Scab’s way into the plant—can you help him find a path so we can break their strike?” read the text on the newly designed Fruit Loops cereal box which challenged the reader to complete the maze to the unmanned production plant without running into any organizers or picket signs. “Watch out for the Kellogg’s workers’ crazy demands like fair wages and health care. And be quick our billionaire investors are depending on you!” At press time McCauley had moved on to the fun facts on the side of the cereal box about how expensive union dues were.
2021-10-07T12:00:00-05:00,https://www.theonion.com/investigators-identify-infamous-ted-bundy-serial-kill-1847818712,Investigators Identify Infamous ‘Ted Bundy’ Serial Killer,WASHINGTON—Following a decades-long investigation that cost millions of dollars FBI officials announced Thursday that they had finally identified the infamous “Ted Bundy” serial killer. “We can finally confirm that the killer known as ‘Ted Bundy’ is in fact Salt Lake City resident Theodore Bundy” said special agent Dennis Hamish in a bombshell press conference recounting how the FBI ran into many dead ends trying to pin him down and even made a few arrests of citizens who they thought were “Ted Bundy” but turned out to be innocent people in the community. “Although Ted Bundy was not one of our initial suspects as the probe progressed we were shocked to uncover more and more evidence suggesting he had something to do with these killings. It appears now that the moniker ‘Ted Bundy’ was a subtle reference to his actual identity Ted Bundy—a connection we were able to make thanks to the tireless work of our dedicated teams of agents across the U.S. who stopped at nothing to solve this case.” Although they were able to close the book on Bundy the FBI later reminded Americans that they were still hunting down the killer known as “Jeffrey Dahmer” and pleaded for any tips that could potentially lead to an ID on the notorious perpetrator.
2021-10-06T16:10:00-05:00,https://www.theonion.com/french-populace-disgusted-catholic-church-preyed-on-chi-1847812471,French Populace Disgusted Catholic Church Preyed On Children In Way Only Acceptable For Teachers, Artists, Filmmakers,PARIS—Shocked and appalled by their wanton disregard of propriety the French populace was reportedly disgusted Wednesday after learning members of the Roman Catholic clergy preyed on children in a manner that citizens said was only acceptable for teachers artists and filmmakers. “We want to condemn in the strongest possible terms these priests thinking they can get away with child sex abuse as if they were famous writers or auteurs or something” said Bernard Moreau 43 who echoed the views of his fellow Parisians when he stated that such actions while perhaps understandable in the context of a lecturer at a lycée wishing to initiate a teenage student into the ways of the flesh were completely unacceptable in the case of church authority figures. “Unless you are talking about a celebrated painter or intellectual who seeks to accompany a virgin on their sexual rite of passage then children have a right to feel safe and protected. These revelations are a terrible stain upon the institution of the Catholic Church—and only that institution.” At press time French citizens were campaigning for the victims to be compensated with erotic mind-broadening experiences with the right kind of adult. 
2021-10-06T12:50:00-05:00,https://www.theonion.com/nation-s-aging-couples-announce-they-more-friends-than-1847810881,Nation’s Aging Couples Announce They More Friends Than Lovers By This Point,WASHINGTON—Confirming that the sexual aspect of their relationships had faded long ago the nation’s aging couples announced Wednesday that they were more friends than lovers by this point. “After decades of living together we’ve found that simple companionship is more important to us than gratifying physical urges” said Edythe Clarkson 76 speaking on behalf of more than 20 million American elderly couples who reportedly didn’t need anything more than an occasional pat on the shoulder or kiss of the hand to feel satisfied with their partner. “In the early days of our courtship we were consumed by the excitement of exploring each others’ bodies but that spark of passion has long since transformed into soft glowing embers that can help keep us warm long into our twilight years.” Clarkson added that any occasional erotic urges she experienced could be dealt with by getting absolutely railed by a ripped 20-year-old.
2021-10-06T11:38:00-05:00,https://www.theonion.com/watchdog-group-enjoys-rare-night-out-after-getting-sitt-1847802125,Watchdog Group Enjoys Rare Night Out After Getting Sitter To Look After Telecom Industry,WASHINGTON—Saying they spent so much time taking caring of issues in the information sector that they often forgot to take care of themselves members of the Consumer Technology Foundation a nonprofit watchdog confirmed they enjoyed a rare night out this week after finding a sitter to look after the telecommunications industry. “Sometimes all the responsibility that comes with being watchdogs can get a little overwhelming so we thought we’d get a sitter to give ourselves a chance to relax and do something just for us” executive director Beatrice Nelkin said of her decision to hire local teenager Makenna Baxter who came with good references and was thought to be more than capable of keeping an eye on the monopolistic abuses of broadband providers while the watchdog group went out for dinner and drinks. “She has our number in case there are any widespread privacy violations and we left her a sheet explaining everything she needs to do if she finds a massive breach of consumer data. She’s usually booked solid overseeing the cases of wrongly convicted prisoners while the Innocence Project goes to see the Capitals play so we were really lucky to get her.” At press time Nelkin was reportedly furious after returning  and finding the sitter had accidentally allowed several mergers and acquisitions to take place while being distracted by a guy she brought over.
2021-10-05T12:15:00-05:00,https://www.theonion.com/mark-zuckerberg-vows-employees-responsible-for-facebook-1847802329,Mark Zuckerberg Vows Employees Responsible For Facebook Outage Will Be Bullied To Suicide,MENLO PARK CA—Following a systems issue that saw the company’s websites and apps go down worldwide for hours Facebook CEO Mark Zuckerberg vowed Tuesday that the employees responsible for the outage will be bullied to suicide. “We take these kinds of disruptions seriously and rest assured we will do everything in our power to viciously berate any personnel involved in this outage about their sexual orientation intelligence and appearance until they’re driven to take their own lives” said Zuckerberg adding that company executives had already begun a preliminary investigation into several potential culprits and the kinds of attacks on their personality family and beliefs that would most efficiently drive them to despair and suicidal ideation. “At this point we’re still narrowing down which of the fat shitheads who work for us did this but rest assured that those stupid assholes will never ever know peace. As part of any potential disciplinary action we’re also going to dox those sluts and cucks responsible by publishing their names addresses and personal information so that every Facebook user will be able to take out their frustrations on them as well. We understand the scale of the disruption has caused a lot of difficulties for businesses and users who depend on Facebook around the globe so we’re doing everything we can to ensure those idiotic employees responsible stick a gun in their mouths and blow their brains out.” At press time Zuckerberg added that until the personnel responsible for the outage came forward executives would send every single Facebook employee hourly messages pretending to be their dead relatives taunting them that they didn’t deserve to live. 
2021-10-05T11:51:00-05:00,https://www.theonion.com/frustrated-god-rejected-from-mensa-again-1847802288,Frustrated God Rejected From Mensa Again,THE HEAVENS—Sighing with despair as He read through His fourth rejection letter from the high-IQ society God the Divine Creator of the Universe reportedly became frustrated Wednesday after once again failing to receive a test score high enough to qualify for membership in Mensa. “Man I really thought I was gonna make it in this time but maybe I just don’t have what it takes” said He Who Commanded the Light to Shine from the Darkness adding that He knew His math wasn’t the best but that He always thought if He took the IQ assessment enough times He would eventually receive the score of 132 necessary for admittance to Mensa. “Actually you know what? Fuck them. I thought Mensa might be a nice group of people to hang around with but if this is the way they’re going to be then forget it. I don’t want to be friends with a bunch of smug assholes. And if they like ridiculously strict admission requirements well I’ve got one of my own for them: Nobody in Mensa gets into heaven. How do you like that you elitist pricks?” According to heavenly sources God’s disappointment was assuaged somewhat when He reminded Himself that He already belonged to some perfectly good civic organizations and that next Thursday Mitch Albom would be speaking at Rotary Club.
2018-10-19T10:15:00-05:00,https://www.theonion.com/you-are-all-inside-amazon-s-second-headquarters-jeff-1829865580,‘You Are All Inside Amazon’s Second Headquarters,’ Jeff Bezos Announces To Horrified Americans As Massive Dome Envelops Nation,SEATTLE—After a search for a new location lasting more than a year a massive dome was seen descending from the sky and enclosing the whole nation Friday as Amazon CEO Jeff Bezos announced to a horrified American populace that it was now living inside his company’s second headquarters.The impenetrable steel dome which reportedly stretches from coast to coast and from the Mexican to the Canadian border will house a state-of-the-art campus that serves as the online retailer’s long-awaited new base of operations. Amazon executives said that while they were impressed with the many proposals they received from cities across the country they ultimately decided the location best suited to their ever-growing needs was the entirety of the continental United States.“We’re proud to welcome all 325 million new employees to the Amazon team” said Bezos his deafening voice causing Americans to clutch their ears in agony as the sun was suddenly blocked out and the image of his smiling face was projected onto the dome’s surface by the millions of Alexa-enabled devices in homes nationwide. “We believe we have finally found the best way to provide our customers with the lowest possible prices and the utmost convenience.”“Now please begin working—all of you” Bezos added as a dark cloud of buzzing drones appeared on the horizon depositing uniforms orientation packets and a pile of boxes to sort on the doorstep of every American home.Witnesses confirmed that as Bezos spoke the national scene turned to chaos with driverless bulldozers knocking down houses and screaming citizens running through the streets as they attempted to dodge giant pallets of consumer goods being airdropped from above. At least 23 flights entering or exiting U.S. airspace at the time of the dome’s descent were reported to have slammed into the structure and exploded while thousands of people on the nation’s beaches and in its border towns are believed to have been crushed as the 40-foot-thick edges of the structure crashed down upon them.In eastern Kentucky a forklift was seen loading cages full of people into a shipping container reportedly so they could be relocated to new workplaces in different parts of the country where they will clock 18-hour daily shifts with no bathroom breaks. According to sources a large swath of the Midwest will soon be razed to make way for a single enormous Amazon Fulfillment Center while the entire state of Texas will be replaced with a 269000-square-mile facility used exclusively to house cardboard boxes tape and inflatable packaging materials.Sources also told reporters that societal order will be maintained by Amazon’s approximately 100000 warehouse robots which have been modified to perform new tasks such as consolidating the nation’s food supply into the company’s AmazonFresh service and distributing 1000-calorie daily rations to each citizen-employee. Though every man woman and child is now required to work and every school in the country has been demolished the educational resource program AmazonInspire is expected to offer learning opportunities at the detention camps it is now tasked with operating.“We’re confident our employees will enjoy working for the rest of their lives on this scenic campus where they can take in sights like Glacier National Park make use of the recreational opportunities provided by the Appalachian Trail or be drafted into our new standing army” said Bezos his voice continuing to reverberate through the giant dome. “For the sake of convenience your Prime membership fees will be automatically deducted each pay period and all wages will be paid in the form of Amazon gift cards. What’s more every employee in good standing will receive one free Audible download per month!”At press time as Bezos was hinting that Amazon might begin construction on a third headquarters an immense titanium shell was seen enclosing the planet Earth.
2018-10-15T11:54:00-05:00,https://www.theonion.com/cows-trample-dozens-of-lobsters-to-death-in-escalating-1829758181,Cows Trample Dozens Of Lobsters To Death In Escalating Surf ’N’ Turf War,CAPE ELIZABETH ME—In what is being described as the most ruthless act of bovine–crustacean violence in years local authorities confirmed Monday that a charging herd of cattle had trampled 49 lobsters to death on the southern coast of Maine marking a bloody escalation in their surf ’n’ turf war.According to reports the shoreline at Crescent Beach State Park was littered with crushed claws and carapaces the deadliest hit yet in a week of intensifying conflict between lobsters and cows. The fragile 16-month truce between the rivals is said to have been shattered Sunday when a lone mother cow wandered into lobster territory at low tide and after a tense exchange of shouted insults lost her left front hoof in a pincer attack.“I heard this awful pop pop pop sound of shells cracking under hooves and immediately called the cops” said longtime Maine resident Anna Newman who on Monday heard loud taunting moos outside her beach house and witnessed the indiscriminate stampeding of lobsters as she crouched low and peered out from behind a curtain. “Bad blood between the cows and the shellfish goes back a long way of course but I’ve never seen it get this vicious before.”“Yesterday a steer drove his horn straight through a soft-shell crab that was just minding his own business and the day before that a whole pod of angry lobsters pinched a cow’s udder off right in front of her calves” she continued. “It’s a nightmare.”High-ranking bovine lieutenants are believed to have ordered Monday’s deadly trampling after the carcass of a young heifer from a prominent cow family washed up on the shore near Kettle Cove her hide branded with a pair of crossed pincers and the phrase “sea life.” This insignia is known to be used by affiliates of the Atlantic Lobster and King Crab crews who were themselves reportedly retaliating against the cows after an incident last week in which a ferocious bull gored to death an entire school of great northern prawns.With the killing Thursday of a dozen Wellfleet oysters in a disputed tide pool reports confirmed the current surf ’n’ turf war has become the deadliest since the 1980s when hostilities between lobsters and cows were so common that no creature could cross through a pasture or estuary without fear of being brutally fileted or shelled.Participants on both sides of the present conflict suggested the widespread killings would get worse before they got better.“We merely seek to defend ourselves against those who would scuttle onto our territory and steal the land right out from under our hooves” said cow boss Gertie who decried the crustacean’s atrocities citing the alleged abduction of a Holstein steer who had a strip steak snipped out of his still-living body by a King Crab enforcer. “The only way we can succeed is for the Herefords and Longhorns to extend their dominion over the ocean and root out our enemies where they live. Every lobster must die—whether they are killed in battle or after a period of confinement in a crowded supermarket aquarium.”“The bays and inlets will run red with bisque” she added.Independent sources confirmed lobster have subjected cows to an excruciating practice known as “brining” in which captive bovines are forced to drink seawater until they die of dehydration. At the same time reports have suggested cows indoctrinate their young into a violent lifestyle before they are even weaned forcing calves to prove their mettle by stealing lobster traps and placing them in the sun where after baking in agony for a day or more their occupants eventually suffocate.“For too long we have been relegated to second-class status alongside these disgusting slabs of fat and gristle—even our humble bivalve brethren know they are superior to cows” said lobster patriarch Klktelek who wears a string of cowbells around his neck each one reportedly taken from a cow he has killed slowly pinch by pinch. “Cows poison the planet with their shit and eat everything in their path. We will roast them on spits right there in their own meadows and fields hanging their severed heads on every wall from ocean to prairie.”Klktelek added “Soon it will only be surf no turf.”
2018-09-27T09:17:00-05:00,https://www.theonion.com/disheveled-cdc-director-warns-of-invisible-germs-crawl-1829358543,Disheveled CDC Director Warns Of ‘Invisible Germs Crawling Everywhere’ From Inside Sealed Plastic Bubble,ATLANTA—Saying there was “no escape no escape at all” from the deadly pathogens disheveled Centers for Disease Control director Robert R. Redfield warned the nation Thursday from inside a sterilized plastic bubble that “invisible germs are crawling absolutely everywhere.”Redfield who sported a long unkempt beard and wore a filthy suit as he held a press conference within a hermetically sealed office at the CDC headquarters urged Americans to avoid all areas to which the virulent and highly contagious microbes are likely to have spread including schools offices shopping centers restaurants places of worship the entirety of the outdoors and even one’s own home.“Initial findings indicate we are in the midst of a full-blown outbreak of imperceptible germs swarming over every conceivable surface which is why I am calling on the federal government to declare a state of emergency” said Redfield pausing briefly in his prepared remarks as his gnarled 6-inch-long fingernails seemed to cause him some difficulty with flipping to his next notecard. “Many of these microorganisms are airborne so I encourage all citizens to quarantine themselves as soon as possible in a large protective sphere equipped with environmental controls and an air-filtration system much like this one I have designed for myself and have lived in for the past nine months.”“Because these creeping infectious bugs may also be waterborne all Americans should refrain from bathing until further notice” he added while scrubbing his hands raw with steel wool. “They’re all over the place. They’re everywhere you could possibly imagine.”Redfield who vigorously scratched at his arm continuing until he began to tear off bloody patches of skin pointed to a wall lined floor to ceiling with glass bottles he had filled with his own urine so it could be analyzed for possible contagions. He also suggested that every man woman and child in the United States do the same thing.The CDC director who apologized to reporters for not making eye contact as he spoke but said that’s how the germs get into your mind and start controlling your thoughts interrupted the press conference at one point to accept a written briefing from an aide. Redfield instructed his subordinate to place the document in a ziplock bag slide it under the door knock three times count to 15 and then walk away. He reportedly asked the aide to stop and restart the entire process several times before he was convinced the procedure had been completed correctly.“As a precautionary measure I’ll be conducting the remainder of the press conference in a protective crouch my body shielded by this lead-lined blanket” said the muffled voice of the director moments after determining the brief’s delivery had compromised the sterility of his bubble a realization that caused him to shriek uncontrollably until a team of workers in hazmat suits could administer a sedative. “If the American people wish to stay safe they must realize the importance of sequestering themselves from all human contact especially interactions with trusted friends and loved ones who appear to be the deadliest vectors of this incurable and untreatable pestilence.”“The germs are on you right now billions and trillions of them everywhere you look” he continued. “They’re also inside you where they can’t be reached. The best advice we can give you right now is to pull out all of your molars immediately.”Redfield announced the CDC has already earmarked $22.3 million toward fighting the epidemic much of which will be spent on building sealed plastic chambers and destroying every flying insect radio tower and dirty spoon on U.S. soil. In addition he has reportedly directed his agency to set up thousands of emergency sanitizing stations where individuals who have been exposed can douse their faces in bleach and attempt to burn the germs off their skin with a gas stove.Going forward Redfield explained the primary goals of the CDC would be to “eliminate all germs protect the American people eliminate all germs and protect the American people.”“There are several ways to limit the spread of these tiny horrid viruses including wearing protective footwear made from sanitary materials such as tissue boxes” he said pointing to his own feet. “We must act quickly and decisively or we face the very real possibility that our populace may never be fully clean again.”He added “Never be fully clean again never be fully clean again never be fully clean again never be fully clean again never be fully clean again never be fully clean again never be fully clean again never be fully clean again never be fully clean again.”
